CO2SM.Pressure,CO2SM.Temperature,CO2SM.CO2_Enthalpy,CO2SM.CO2_Entropy,CO2SM.Enthalpy,CO2SM.Entropy,CO2SM.status,graph.error
11.658369,768.916568,-372612.414828,4.284094,-89056.5045,1.023923,0,0
13.037478,522.460423,-385565.845779,-16.941903,-92152.4488,-4.049212,0,0
26.976626,451.7366,-391582.783378,-34.723264,-93590.5314,-8.299059,0,0
24.878639,561.453667,-384596.856902,-20.220956,-91920.8549,-4.832925,0,0
19.770083,314.907626,-403163.770699,-64.191628,-96358.4538,-15.342167,0,0
16.678166,545.669319,-384729.081762,-17.303231,-91952.4574,-4.135571,0,0
29.547528,551.718292,-385521.282414,-23.24777,-92141.7979,-5.55635,0,0
33.464194,510.252867,-388349.249687,-29.550988,-92817.6983,-7.062856,0,0
18.457558,472.30465,-389074.693782,-26.636426,-92991.0836,-6.366258,0,0
8.790504,870.431486,-367096.958918,13.399986,-87738.2789,3.202673,0,0
15.365038,335.339877,-400087.61775,-53.936304,-95623.2356,-12.891086,0,0
28.229252,950.223421,-363142.891056,7.72262,-86793.234,1.84575,0,0
13.001823,505.291825,-386468.9672,-18.678354,-92368.3,-4.464234,0,0
32.822036,754.626973,-374184.35869,-6.618575,-89432.2081,-1.581877,0,0
30.817531,775.226587,-372976.057146,-4.486693,-89143.4171,-1.072345,0,0
12.4398,360.166877,-395376.077274,-39.450723,-94497.1504,-9.428949,0,0
33.66042,690.043944,-377833.336803,-11.893691,-90304.3348,-2.84266,0,0
20.807089,695.314187,-376975.325178,-6.559593,-90099.2651,-1.56778,0,0
11.290149,599.731639,-381387.9699,-8.330439,-91153.9125,-1.991023,0,0
7.638821,384.590828,-391905.563497,-27.055399,-93667.6777,-6.466396,0,0
16.455109,351.656332,-398181.42919,-48.639528,-95167.6456,-11.625126,0,0
26.752421,999.971989,-360321.178026,11.092024,-86118.8284,2.651057,0,0
16.207015,401.347929,-393272.116473,-35.418158,-93994.2917,-8.465143,0,0
17.718797,670.533657,-378138.201453,-6.91737,-90377.1992,-1.653291,0,0
12.744228,644.600962,-379184.058778,-5.779275,-90627.1651,-1.38128,0,0
20.55819,585.43706,-382914.471757,-15.758917,-91518.7552,-3.766472,0,0
24.00225,352.760735,-399651.149146,-54.39981,-95518.9171,-13.001867,0,0
31.657969,393.472405,-396674.390465,-47.823348,-94807.4547,-11.430054,0,0
25.169259,323.01056,-402643.537578,-63.455083,-96234.1151,-15.166129,0,0
27.314039,722.013759,-375806.726447,-7.222599,-89819.9633,-1.726243,0,0
21.280425,457.026895,-390440.791121,-30.584378,-93317.5887,-7.309842,0,0
27.283321,803.93769,-371281.374389,-1.276113,-88738.3782,-0.304998,0,0
