,BFW_Fm,BFW_F,BFW_h,BFW_T,BFW_P,BFW_F[H2O],ECON_OUT_Fm,ECON_OUT_F,ECON_OUT_h,ECON_OUT_T,ECON_OUT_P,ECON_OUT_F[H2O],FG_2_AIRPH_Fm,FG_2_AIRPH_F,FG_2_AIRPH_h,FG_2_AIRPH_T,FG_2_AIRPH_P,FG_2_AIRPH_F[O2],FG_2_AIRPH_F[NO],FG_2_AIRPH_F[N2],FG_2_AIRPH_F[SO2],FG_2_AIRPH_F[CO2],FG_2_AIRPH_F[H2O],FG_2_ECON_Fm,FG_2_ECON_F,FG_2_ECON_h,FG_2_ECON_T,FG_2_ECON_P,FG_2_ECON_F[O2],FG_2_ECON_F[NO],FG_2_ECON_F[N2],FG_2_ECON_F[SO2],FG_2_ECON_F[CO2],FG_2_ECON_F[H2O],ECON_Q,termination,bin_no,bin_power
20,476.2510977593292,26435.970742113255,15058.70834279942,466.80708328832594,26923349.59339781,26435.970742113255,476.2510977593292,26435.970742113255,20172.991099064013,530.0502634781153,26254123.95352758,26435.970742113255,579.0243409559862,19539.099673706234,-72665.51363561868,486.13222386825527,100339.81508941355,482.6157619405441,11.72345980422374,14476.518948248951,39.07819934741247,2831.2155427200337,1697.9477616450718,579.0243409559862,19539.099673706234,-65746.00190942359,694.9282512950793,99522.18278170662,482.6157619405441,11.72345980422374,14476.518948248951,39.07819934741247,2831.2155427200337,1697.9477616450718,135201029.31150514,optimal,23.0,587500000.0
21,492.6246641688604,27344.842395287174,15110.701630603884,467.470987068167,26922223.74646062,27344.842395287174,492.6246641688604,27344.842395287174,19987.68026856348,527.8495446959398,26253422.477455493,27344.842395287174,579.4340907855519,19552.926627419358,-72288.044629929,497.84020922724824,99861.83120816803,482.9572876972582,11.731755976451613,14486.763338255003,39.10585325483871,2833.219068313065,1699.149323922742,579.4340907855519,19552.926627419358,-65467.57142091208,703.0795892294785,100330.52459099586,482.9572876972582,11.731755976451613,14486.763338255003,39.10585325483871,2833.219068313065,1699.149323922742,133360212.22018746,optimal,22.0,582500000.0
22,476.0462260355703,26424.598625764007,15254.36378283542,469.30313684495525,26922883.122983158,26424.598625764007,476.0462260355703,26424.598625764007,20178.998284792684,530.1214728291426,26254093.707604423,26424.598625764007,579.4107499612998,19552.13899439727,-72206.84244134049,500.35417727612304,99987.99411027685,482.9378331616126,11.73128339663836,14486.179780948936,39.104277988794536,2833.1049402881645,1699.0808786131226,579.4107499612998,19552.13899439727,-65551.22843767062,700.632346276952,100512.06513072665,482.9378331616126,11.73128339663836,14486.179780948936,39.104277988794536,2833.1049402881645,1699.0808786131226,130131490.09280989,optimal,22.0,582500000.0
23,494.16505583602316,27430.347183068447,15067.946211045648,466.9253431626768,26920779.463333655,27430.347183068447,494.16505583602316,27430.347183068447,19700.494388266172,524.4236080121385,26252939.454309814,27430.347183068447,568.6776421894086,19189.95169460713,-72433.330256456,493.33810215987984,100559.00864205389,473.99180685679625,11.513971016764279,14217.835210534424,38.37990338921426,2780.624000548574,1667.6068022613597,568.6776421894086,19189.95169460713,-65811.51031309678,693.007787129405,99824.12602808692,473.99180685679625,11.513971016764279,14217.835210534424,38.37990338921426,2780.624000548574,1667.6068022613597,127072404.84344979,optimal,23.0,587500000.0
24,483.4253278597916,26834.20129302498,14829.141577113844,463.8722659325242,26922432.2068809,26834.20129302498,483.4253278597916,26834.20129302498,20013.37263744854,528.1550392317337,26256744.93979972,26834.20129302498,575.0949718170212,19406.503632693075,-72576.76010973356,488.8883026136102,100320.53064513794,479.3406397275189,11.643902179615843,14378.278541462298,38.81300726538614,2812.002376377226,1686.4251656810277,575.0949718170212,19406.503632693075,-65408.30243927433,704.8124173167632,100267.19391260446,479.3406397275189,11.643902179615843,14378.278541462298,38.81300726538614,2812.002376377226,1686.4251656810277,139114699.82257363,optimal,22.0,582500000.0
25,508.9278556647827,28249.807644536995,15374.533473615516,470.8338315980157,26921225.73985948,28249.807644536995,508.9278556647827,28249.807644536995,20002.83831106146,528.0298279421742,26254373.764876734,28249.807644536995,578.8288098021693,19532.50150082557,-72404.32219364385,494.2374279606788,99549.8754463805,482.4527870703917,11.719500900495342,14471.630361961665,39.06500300165114,2830.259467469625,1697.374380421742,578.8288098021693,19532.50150082557,-65710.41658341765,695.9710589141094,99589.3449772531,482.4527870703917,11.719500900495342,14471.630361961665,39.06500300165114,2830.259467469625,1697.374380421742,130748721.378128,optimal,23.0,587500000.0
26,505.3016281934752,28048.521298349555,14833.714520689353,463.9308218777382,26922204.34222878,28048.521298349555,505.3016281934752,28048.521298349555,19588.895599302254,523.0873822807125,26252657.588565104,28048.521298349555,578.8588757766429,19533.516073150895,-72353.92325732605,495.79942337506833,100230.78561092148,482.4778470068272,11.720109643890536,14472.382058597499,39.06703214630179,2830.406478999565,1697.4625467568128,578.8588757766429,19533.516073150895,-65525.87462227721,701.3742008551827,99390.82236835049,482.4778470068272,11.720109643890536,14472.382058597499,39.06703214630179,2830.406478999565,1697.4625467568128,133375797.7609828,optimal,23.0,587500000.0
27,476.78967864321294,26465.866544045468,15195.424024189628,468.5518674462656,26921985.32499397,26465.866544045468,476.78967864321294,26465.866544045468,20091.81944371748,529.0872273682672,26254763.489393555,26465.866544045468,573.7534673402558,19361.23474185341,-72631.53175701591,487.1877002936407,100155.33582234074,478.2224981237793,11.616740845112046,14344.738820239192,38.722469483706824,2805.442914094559,1682.4912990670612,573.7534673402558,19361.23474185341,-65938.3972824894,689.2850548360607,99535.03017848343,478.2224981237793,11.616740845112046,14344.738820239192,38.722469483706824,2805.442914094559,1682.4912990670612,129587347.72009957,optimal,22.0,582500000.0
28,504.02844497504947,27977.848843272797,15093.937934143056,467.25718294015775,26920745.387082696,27977.848843272797,504.02844497504947,27977.848843272797,19880.99160855033,526.5789739025272,26253299.734092776,27977.848843272797,578.5886237252918,19524.396453482314,-72366.83224247964,495.3994009610419,100377.39361014598,482.2525924010132,11.714637872089385,14465.625332385045,39.04879290696462,2829.085046109587,1696.670051807613,578.5886237252918,19524.396453482314,-65507.13420129831,701.9224507688808,100167.3886271413,482.2525924010132,11.714637872089385,14465.625332385045,39.04879290696462,2829.085046109587,1696.670051807613,133931464.10720035,optimal,22.0,582500000.0
29,485.151824996212,26930.036511042297,15077.818745567249,467.05138384581704,26920883.763461642,26930.036511042297,485.151824996212,26930.036511042297,20144.759595448864,529.7155208162636,26253230.567246255,26930.036511042297,580.5743754893208,19591.405383677793,-72450.54946550532,492.8041616907197,99969.46141272041,483.9077129768415,11.754843230206673,14515.272248766874,39.18281076735558,2838.7946400949118,1702.4931278415997,580.5743754893208,19591.405383677793,-65485.61257535825,702.551963838447,100386.03372328624,483.9077129768415,11.754843230206673,14515.272248766874,39.18281076735558,2838.7946400949118,1702.4931278415997,136452902.08660358,optimal,22.0,582500000.0
30,494.25633112792457,27435.41373505654,14888.381823681017,464.63022167067646,26922866.59941936,27435.41373505654,494.25633112792457,27435.41373505654,19869.00884382133,526.4359633438813,26257830.55656099,27435.41373505654,573.1656292059093,19341.39822188943,-72712.28196492606,484.6791327020674,100521.69937855721,477.732536080669,11.604838933133657,14330.04194259788,38.68279644377886,2802.5686023517787,1680.7675054821914,573.1656292059093,19341.39822188943,-65647.35514888522,697.8183089633735,100182.14184398447,477.732536080669,11.604838933133657,14330.04194259788,38.68279644377886,2802.5686023517787,1680.7675054821914,136645562.9575514,optimal,22.0,582500000.0
